sentence,cleanliness,comfort,amenities,staff,value,wifi,location,other
"Posizione suggestiva con vista sul golfo  staff pronto e cordiale  camera confortevole, per quanto un po' piccola  ottimo prezzo  drink di benvenuto  reception H24.",neutral,neutral,neutral,positive,neutral,neutral,positive,neutral
"Bagni fatiscenti, posizione della struttura sgradevole , piena di extracomunitari",neutral,negative,neutral,neutral,neutral,neutral,negative,neutral
"Posizione strategica  pochi minuti a piedi dalla stazione centrale di piazza Garibaldi , portiere di notte presente e cordiale, struttura interna particolarissima",neutral,neutral,neutral,positive,neutral,neutral,positive,positive
Prodotti a pagamento in una suite da 340 Se io fossi in loro farei pagare 20  in più la stanza ma metterei tutto gratis nella stanza,neutral,neutral,neutral,neutral,negative,neutral,neutral,neutral
In bagno 1 solo schampo e 1 solo bagno doccia per 2 persone.,neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
Rientrati in albergo alle 00 00 nessuno in portineria.,neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
Colazione abbondante e camere spaziose.,neutral,positive,positive,neutral,neutral,neutral,neutral,neutral
la posizione  tra la stazione ed il centro,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
"Ottima posizione per chi è in viaggio di lavoro, molto buona qualità stanza, servizio, pulizia, comfort.",positive,positive,neutral,neutral,neutral,neutral,positive,neutral
"Ottima la visuale dalla hall, dal ristorante e da alcune camere.",neutral,positive,neutral,neutral,neutral,neutral,neutral,neutral
"In definitiva ho pagato 20 euro di più per il servizio di check in posticipato, pur avendo appurato che l'impiegato era comunque presente, dato che consegnave  e ritirava le chiavi di altri clienti... .",neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
Molto pulito e il personale è molto gentile e cortese.,positive,neutral,neutral,positive,neutral,neutral,neutral,neutral
La colazione offerta era super.,neutral,neutral,positive,neutral,neutral,neutral,neutral,neutral
Ci avete dato una camera buia senza luce che si affacciava direttamente su un altro edificio.,neutral,negative,neutral,neutral,neutral,neutral,negative,neutral
Camera ottima e proporzionata al costo.,neutral,positive,neutral,neutral,positive,neutral,neutral,neutral
"Solo per questo  che comunque non è poco ,non lo consiglierei.",neutral,neutral,neutral,neutral,negative,neutral,neutral,neutral
"Struttura vecchia con arredamento essenziale e datato, ma comodo sia per la posizione che per il prezzo.",neutral,negative,neutral,neutral,positive,neutral,positive,neutral
Straordinaria posizione  vicino alle principali attrazioni dell'area storica greco romana e la metropolitana Università.,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
"Ottima posizione, buona e abbondante  colazione e ottimi luoghi comuni, la gentilezza del personale e delle cameriere dei piani.",neutral,neutral,positive,positive,neutral,neutral,positive,positive
"posizione ottima, personale super gentile, ottima colazione",neutral,neutral,positive,positive,neutral,neutral,positive,neutral
"Mi hanno mandato a 6 isolati più lontano ed ecco  Stanza a piano terra, serratura camera guasta, bagno esterno stessi problemi serratura, 2 letti a castello in ferro  tipo galera ,scrivania e comodino ammaccati, muri scrostati, niente moquette e o tappeti sul pavimento, lampada a muro con fili scoperti, nessuna possibilità di aprire finestra.",neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"Camera pulita e curata, buona colazione",positive,neutral,positive,neutral,neutral,neutral,neutral,neutral
personale alla reception non sempre così aperto e disponibile,neutral,neutral,neutral,negative,neutral,neutral,neutral,neutral
Staff Cordiale e Professionale.,neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral
Il materasso  ottimo e l'insonorizzazione della stanza,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"Sebbene il la struttura non abbia un parcheggio interno, è convenzionata con un garage a meno di 5 minuti di distanza.",neutral,neutral,positive,neutral,neutral,neutral,neutral,neutral
Personale disponibilissimo e cortese.,neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral
Camera con vista Torre degli Asinelli e bagno comodo e pulito.,positive,positive,neutral,neutral,neutral,neutral,positive,neutral
Molti gradini  93  Ascensore piccolo.,neutral,neutral,negative,neutral,neutral,neutral,neutral,negative
A Napoli non ci si può aspettare un caffè dalla macchinetta E senza nemmeno una sfogliatella o un bel Buffet con dolci tipici,neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
situato vicinissimo alla stazione centrale ma quella è una zona pericolosissima.,neutral,neutral,neutral,neutral,neutral,neutral,negative,neutral
tutt o pulito ed ordinato.,positive,neutral,neutral,neutral,neutral,neutral,neutral,neutral
La pulizia della camera ineccepibile.,positive,neutral,neutral,neutral,neutral,neutral,neutral,neutral
"Il ragazzo che ci ha accolto non è stato esaustivo, in bagno i prodotti x l'igiene erano solo x un ospite e eravamo in due .",neutral,neutral,negative,negative,neutral,neutral,neutral,neutral
Personale molto cordiale e professionale,neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral
Ristorante e sala colazioni freddina.,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
La posizione è eccezionale.,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
molto bella la sala per la colazione.,neutral,positive,neutral,neutral,neutral,neutral,neutral,neutral
"Camera molto confortevole e pulita, luminosa con un'ampia finestra  il bagno, anch'esso pulito e con una doccia molto grande.",positive,positive,neutral,neutral,neutral,neutral,neutral,neutral
Qui al contrario sempre disponibile e sorridente.,neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral
da rimodernare è molto datato e poco curato,neutral,neutral,neutral,neutral,neutral,neutral,neutral,negative
Cordialità e gentilezza del personale e camere curate,neutral,positive,neutral,positive,neutral,neutral,neutral,neutral
Coperte sporche con odore di stantio.,negative,neutral,neutral,neutral,neutral,neutral,neutral,neutral
"La posizione è straordinaria, è possibile visitare moltissimi luoghi andando a piedi e si è  immersi  in una Napoli attuale ma in cui si sente il  respiro  di Di Giacomo, Viviani, e De Filippo",neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
"Colazione buona e varietà di scelta, terrazza panoramica piano da cui si può ammirare Bologna, zona tranquilla.",neutral,neutral,positive,neutral,neutral,neutral,positive,neutral
preaddebito su carta di credito non ancora rimborsato dopo 10 giorni.,neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
"Frigo bar vuoto Acqua minerale di cortesia, una solo bottiglia per due notti.",neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
Temperatura della stanza leggermente troppo alta per la stagione.,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"Tutto , in particolare la posizione e il panorama   camera superior vista mare",neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
Materasso scomodo e colazione non buona.,neutral,negative,negative,neutral,neutral,neutral,neutral,neutral
La nostra stanza era molto bella ma il bagno o la ventola mandano odore un po' sgradevole.,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"Si dichiarano  pet friendly  ed in effetti hanno accolto il nostro cane anche senza richiedere alcun supplemento  tuttavia esigono di non lasciare mai solo l animale in camera nemmeno X il breve tempo della colazione, obbligando gli ospiti a fare colazione singolarmente.",neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
"Ottima posizione, staff gentile, buona colazione",neutral,neutral,positive,positive,neutral,neutral,positive,neutral
"Pulizia della camera che lascia a desiderare, doccia piccola e scomoda.",negative,negative,neutral,neutral,neutral,neutral,neutral,neutral
Lo staff è stato gentile e disponibile.,neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral
Nelle immediate vicinanza tanti bar e anche trattorie dove gustare piatti tipici.,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
"La posizione, davvero invidiabile",neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
Giusto la posizione e il receptionist disponibile,neutral,neutral,neutral,positive,neutral,neutral,positive,neutral
"Vicino alla stazione, silenzioso",neutral,positive,neutral,neutral,neutral,neutral,positive,neutral
"letto cuscini e copriletto buoni , senza il dannato piumone che c'è altrove.",neutral,positive,neutral,neutral,neutral,neutral,neutral,neutral
"l'hotel è bello, ben tenuto  il parcheggio a circa 350 metri è abbastanza comodo...",neutral,neutral,positive,neutral,neutral,neutral,neutral,positive
"La camera perfetta come sempre, e staff molto gentile.",neutral,positive,neutral,positive,neutral,neutral,neutral,neutral
Stanza piccola ma pulita.,positive,negative,neutral,neutral,neutral,neutral,neutral,neutral
"Il bagno, la pulizia e la gentilezza e disponibilità del personale.",positive,neutral,neutral,positive,neutral,neutral,neutral,neutral
"Lo staff è stato disponibile e solare, la struttura è ideata per garantire l'indispensabile per chi viaggia.",neutral,neutral,neutral,positive,neutral,neutral,neutral,positive
Posizione molto comoda e facilmente raggiungibile a piedi dalla stazione centrale.,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
"Colazione buona, il distribuitore di caffè a disposizone dei clienti H24 è un plus che non mi era mai capitato",neutral,neutral,positive,neutral,neutral,neutral,neutral,neutral
Camera mini,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"La posizione della struttura è un po' fuori dal centro, ma in compenso è vicina al capolinea degli autobus",neutral,neutral,neutral,neutral,neutral,neutral,negative,neutral
"Camere non insonorizzate, si sente continuamente rumore dalla strada",neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Comodità della stanza e posizione ottimale,neutral,positive,neutral,neutral,neutral,neutral,positive,neutral
"la posizione è centrale, nel vero centro storico.",neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
Rapporto qualità prezzo veramente ottimo.,neutral,neutral,neutral,neutral,positive,neutral,neutral,neutral
"Camera comoda, silenziosa e pulita.",positive,positive,neutral,neutral,neutral,neutral,neutral,neutral
Toglierei la moquette dal pavimento .,neutral,neutral,neutral,neutral,neutral,neutral,neutral,negative
"Staff molto educato e gentile, la camera corrispondeva alla descrizione",neutral,neutral,neutral,positive,neutral,neutral,neutral,positive
Bella la stanza e anche il bagno,neutral,positive,neutral,neutral,neutral,neutral,neutral,neutral
doccia davvero bella e comoda.,neutral,positive,neutral,neutral,neutral,neutral,neutral,neutral
"ottima la colazione, molto belli gli arredi.",neutral,positive,positive,neutral,neutral,neutral,neutral,neutral
"buona la colazione e la posizone, carina la camera.",neutral,neutral,positive,neutral,neutral,neutral,positive,neutral
La pulizia delle camere è assolutamente da migliorare... anche le camere da rifare...odore di muffa e rubinetto del bagno arrugginito.,negative,negative,neutral,neutral,neutral,neutral,neutral,neutral
Durante la colazione parte del cibo era avariata  può capitare  e lo staff non ha fatto nulla né per scusarsi dell'inconveniente né  soprattutto per controllare ritirare il resto del vassoio fruibile per gli altri ospiti,neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
Ampia la camera con la presenza di tutti i servizi,neutral,positive,positive,neutral,neutral,neutral,neutral,neutral
Forse si potrebbe rivedere l'isolamento acustico delle stanze.,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
ottimo rapporto qualità prezzo,neutral,neutral,neutral,neutral,positive,neutral,neutral,neutral
TROPPO CARO IL SERVIZIO IN CAMERA PER UN PIETANZA,neutral,neutral,neutral,neutral,negative,neutral,neutral,neutral
a due passi dalla stazione centrale.,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
"L'addetto alla reception è scappato in cerca di aiuto e ha lasciato me a fare da traduttrice con inglesi e francesi spaesati come me.  Dopo 25 30 minuti ho potuto, insistendo, avere accesso alla mia stanza.",neutral,negative,neutral,negative,neutral,neutral,neutral,neutral
Cambierei i cuscini del letto.,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"Clienti e titolare hanno fatto baccano sino a tardi, non limitando il tono della voce  porte di cartapesta .",neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"Locazione appartamento fantastica, stanze grandi e soleggiate.",neutral,positive,neutral,neutral,neutral,neutral,positive,neutral
Ci siamo trovati bene.,neutral,neutral,neutral,neutral,neutral,neutral,neutral,positive
Buona la colazione ma migliorabile offrendo più scelta sul salato.,neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
Orario colazione troppo tardi,neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
Staff cortese e collaborativo.,neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral
La Hall e la zona colazioni risultano essere alquanto piccole.,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
L'hotel avrebbe bisogno di una ristrutturazione  non è il linea con il prezzo richiesto,neutral,neutral,neutral,neutral,negative,neutral,neutral,negative
Non ho mai successo che pacchegiatto nel paccheggio di hotel ti rubano,neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
nella stanza  per quanto grande  mancava un comodino e in un hotel dovrebbe essere fondamentale per rendere la stanza completa,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"L'accoglienza al ricevimento, frettoloso e con poche informazioni.",neutral,neutral,neutral,negative,neutral,neutral,neutral,neutral
"La stanza ed il bagno molto puliti, lo staff simpatico e gentilissimo, i cornetti al pistacchio ottimi, la posizione è comodissima e il canale sul retro dell'hotel ha un certo fascino.",positive,positive,neutral,positive,neutral,neutral,positive,positive
"camere da sistemare   strutturalmente , materassi con le molle che escono, riscaldamento  assente prima delle 20.00 e fuori c'erano 6 gradi.",neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"Per me da sola è andata bene, ma in due avremmo dormito veramente male... oppure mi hanno dato una singola senza avvertirmi.",neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
La camera era datata e usurata .,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
L'isolamento acustico delle finestre mi è parso non completo,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Stanza molto pulita e letto comodo,positive,positive,neutral,neutral,neutral,neutral,neutral,neutral
Servizio wi fi perchè ogni giorno richiede di ricollegarsi,neutral,neutral,neutral,neutral,neutral,negative,neutral,neutral
"La struttura attualmente sarebbe adeguata per i servizi offerti da un Hotel a tre stelle, pertanto risulta essere eccessivo il rapporto costo per notte.",neutral,neutral,neutral,neutral,negative,neutral,neutral,neutral
Arredamento un po' datato.,neutral,neutral,neutral,neutral,neutral,neutral,neutral,negative
Egregia gestione dei titolari.,neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral
"Anzi, siamo stati posizionati davanti alla porta di uscita verso il terrazzo, dove stazionava il personale di servizio addetto alla sala e con un grosso via vai di persone che uscivano ed entravano.",neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"La colazione è scarna, un croissant freddo e un cappuccino.",neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
"Camera con letti obsoleti e rumorosi puzza negli scarichi del lavandino doccia,decisamente una camera non all'altezza della struttura e delle sue 4 stelle,una colazione comunque veramente ottima e un personale qualificato ,professionale e gentile,peccato solo per le condizioni fatiscenti del primo piano e della Camera in questione la 111 che sembra ricavata da un ex deposito in fretta e furia,la reception si è scusata alla nostra partenza e questo forse ci farà ritornare,una struttura di altri tempi e fasti che adesso sembra e ribadisco sembra decadente,spero che migliorino,un peccato non farlo....",neutral,negative,neutral,positive,neutral,neutral,neutral,neutral
Hall praticamente inesistente,neutral,neutral,neutral,neutral,neutral,neutral,neutral,negative
"Per prendere l'ascensore occorrono 10 cent nei giorni feriali e, se qualcuno  come capita spesso  dimentica le porte aperte l'ascensore non funziona  siamo nel 2016",neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
"Ottimo rapporto qualità prezzo, la colazione era ottima, con grande varietà di scelta e abbondante.",neutral,neutral,positive,neutral,positive,neutral,neutral,neutral
Anche la vicinanza con dei buoni ristoranti nel Borgo Marinari di Castel dell'Ovo gioca molto a favore.,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
Camera standard con letto alla francese di dimensioni minuscole.,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"Manca un vero armadio, che per soggiorni più lunghi potrebbe fare comodo.",neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
A due passi dalla Metro,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
L'arredo dell'hotel è sfizioso e curato.,neutral,neutral,neutral,neutral,neutral,neutral,neutral,positive
"Piccoli comodo accorgimenti, come la cabina armadio separata con un ampio specchio, le pantofole, doppi cuscini e il bollitore elettrico.",neutral,positive,neutral,neutral,neutral,neutral,neutral,neutral
Bidet con troppo poco spazio per persone con altezza sopra la media,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"Personale disponibile, cortese e preparato.",neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral
Un plauso anche al servizio in camera  i pasti vengono consegnati caldi e presentati bene  a differenza di altre strutture .,neutral,neutral,positive,neutral,neutral,neutral,neutral,neutral
Il free upgrade alla Junior Suite è stato molto apprezzato.,neutral,neutral,positive,neutral,neutral,neutral,neutral,neutral
"Pulizia, e poco sorriso da parte dello staff",neutral,neutral,neutral,negative,neutral,neutral,neutral,neutral
Letto grande e comodo,neutral,positive,neutral,neutral,neutral,neutral,neutral,neutral
Gestori dell'hotel gentilissimi e personale molto disponibile e cordiale.,neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral
Il check out posticipato di appena un'ora al costo di un'intera notte supplementare.,neutral,neutral,neutral,neutral,negative,neutral,neutral,neutral
Frigobar in camera dotato di ogni tipo di bevanda e snack.,neutral,neutral,positive,neutral,neutral,neutral,neutral,neutral
per quanto mi riguarda ottima posizione per lo stadio san paolo staff disponibile e professionale.,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
Pioveva .... e ci siamo lavati X arrivare al parcheggio,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
La camera arredata con gusto come del resto tutto l'hotel.,neutral,neutral,neutral,neutral,neutral,neutral,neutral,positive
Posizione centrale da cui si può raggiungere tutta Napoli a piedi.,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
Ottimo albergo per vacanza e visita della città.,neutral,positive,neutral,neutral,neutral,neutral,neutral,neutral
Palazzo un po datato.,neutral,neutral,neutral,neutral,neutral,neutral,neutral,negative
Pulizia e comfort delle stanze in un ambiente minimalista ma di ottima accoglienza.,positive,positive,neutral,neutral,neutral,neutral,neutral,negative
Mi è piaciuto che venisse preparata la camera con candela della buona notte e musica di sottofondo,neutral,neutral,positive,neutral,neutral,neutral,neutral,neutral
"Personale molto cortese e attento, posizione eccellente, ambiente elegante",neutral,positive,neutral,positive,neutral,neutral,positive,neutral
"La nostra camera, probabilmente per il tipo di disposizione se rimaneva chiusa risentiva un po dell'umidità, ma con un po di aria dalla finestra tornava tutto ok.",negative,neutral,neutral,neutral,neutral,neutral,neutral,neutral
La camera era spaziosa ed il personale professionale,neutral,positive,neutral,positive,neutral,neutral,neutral,neutral
La pomposita' del nome non corrisponde alla realtà.,neutral,neutral,neutral,neutral,neutral,neutral,neutral,negative
"Copriletti e coperte non davano l'impressione di essere molto puliti, water con residui di sporco nel fondo.",negative,neutral,neutral,neutral,neutral,neutral,neutral,neutral
Nel bagno c'era un segno di una perdita.,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Posizione buona a pochi metri dalla stazione ma vicina per raggiungere il centro storico a piedi.,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
"Camera molto ampia, ambiente luminoso, caldo e funzionale.",neutral,positive,neutral,neutral,neutral,neutral,neutral,neutral
"Non ci è piaciuta la camera,il bagno assolutamente il contrario di quanto si aspetti da un normale bagno con quella che doveva essere una doccia con muffa,la tv che non prendeva nessun canale,la vista  da paura  tanto che abbiam deciso di lasciare la persiana chiusa.",negative,negative,negative,neutral,neutral,neutral,negative,neutral
Ottima la colazione con vista mare data la posizione al settimo piano,neutral,neutral,positive,neutral,neutral,neutral,positive,neutral
La gentilezza del personale,neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral
Vicinanza con stazione e metro,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
Pulizia con ampi margini di miglioramento.,negative,neutral,neutral,neutral,neutral,neutral,neutral,neutral
Mancanza di un adeguato parcheggio interno per il carico e scarico.,neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
La scelta della colazione era scarsa.,neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
"la posizione, vicinissimo al centro storico",neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
La temperatura troppo elevata e senza la possibilita' di sistemarla,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Era una cosa da chiamare Ufficio Igiene subito.,negative,neutral,neutral,neutral,neutral,neutral,neutral,neutral
Posizione decentrata ma tranquilla.,neutral,neutral,neutral,neutral,neutral,neutral,negative,neutral
La vicinanza al centro,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
"Solo quando al desk è arrivata una senior, finalmente la  reception  diventa tale  altrimenti sembra che ti facciano un favore .",neutral,neutral,neutral,negative,neutral,neutral,neutral,neutral
Le camere pulite e spaziose.,positive,positive,neutral,neutral,neutral,neutral,neutral,neutral
Staff cordiale e disponibile,neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral
"I croissant erano buoni e freschi, personale disponibile e gentile",neutral,neutral,positive,positive,neutral,neutral,neutral,neutral
Stanz inadeguata e non arredata a sufficienza.,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"Staff cordiale e disponibile, siamo arrivati in anticipo e ci hanno consentito di lasciare i bagagli in hotel prima dell'orario di check in ed anche dopo il check out.",neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral
La colazione era ricca.,neutral,neutral,positive,neutral,neutral,neutral,neutral,neutral
"Ottima posizione, hotel in rifacimento per cui c'è una cura verso l'ammodernamento, ottima colazione, favoloso wifi internet  ho fatto una video call senza problemi ed ero in camera , camera e bagno molto ampi, personale gentile",neutral,positive,positive,positive,neutral,positive,positive,neutral
Problemi con l'acqua calda.,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"Ambiente di classe inserito in contesto tranquillo, parco molto curato, personale cordiale e discreto",neutral,positive,neutral,positive,neutral,neutral,neutral,neutral
"Purtroppo, dopo una lunga attesa, ci è capitato un taxi abusivo che ci ha rubato 110 euro per arrivare alla  stazione di Napoli Afragola.",neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
"Letti scomodi, armadio rotto e phon poco potente.",neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Il bagno non è in camera e questo dovrebbe fare abbassare un po' il prezzo.,neutral,negative,neutral,neutral,negative,neutral,neutral,neutral
"Struttura pulita, camere confortevoli",positive,positive,neutral,neutral,neutral,neutral,neutral,neutral
"Nella stanza puzzava di fumo e di cose sporche, non era un buon odore.",negative,neutral,neutral,neutral,neutral,neutral,neutral,neutral
La chiave a tessera non funzionava,neutral,neutral,neutral,neutral,neutral,neutral,neutral,negative
"esterno, sala per la colazione piccolissima.",neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"Ambiente tetro e squallido, con tanto di umidità che ha reso le basi delle porte completamente sfaldate e muri che si sgretolavano.",negative,negative,neutral,neutral,neutral,neutral,negative,neutral
"Posizione eccezionale per servizi,centro e porto.",neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
La disponibilità del personale,neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral
"Formiche sul pavimento, senza ascensore, personale scorbutico, colazione in una saletta misera con cornetti confezionati.",negative,neutral,negative,negative,neutral,neutral,neutral,neutral
La camera non era molto insonorizzata,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Peli pubici sul letto e asciugamani sporchi di presunta cacca.,negative,neutral,neutral,neutral,neutral,neutral,neutral,neutral
bella struttura interna buona la pulizia belle camere personale gentile,positive,neutral,neutral,positive,neutral,neutral,neutral,positive
"Camera troppo calda, asfissiante.",neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"Colazione scarsa, anche se le cose basilari erano disponibili.",neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
Mi è piaciuto tutto,positive,positive,positive,positive,positive,positive,positive,positive
Non c'è il servizio colazione.,neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
Presenza di un'inutile cucina e bagno microscopico,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"Questa grave carenza non può essere certo giustificata dagli ospiti numerosi, visto che l'hotel è accanto alla fiera.",neutral,neutral,negative,neutral,neutral,neutral,positive,neutral
La cordialità del proprietario e del resto dello staff.,neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral
Posizione nel centro storico,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
