sentence,cleanliness_presence,comfort_presence,amenities_presence,staff_presence,value_presence,wifi_presence,location_presence,other_presence
Il materasso  ottimo e l'insonorizzazione della stanza,0,1,0,0,0,0,0,0
"Sebbene il la struttura non abbia un parcheggio interno, è convenzionata con un garage a meno di 5 minuti di distanza.",0,0,1,0,0,0,0,0
Personale disponibilissimo e cortese.,0,0,0,1,0,0,0,0
Camera con vista Torre degli Asinelli e bagno comodo e pulito.,1,1,0,0,0,0,1,0
Molti gradini  93  Ascensore piccolo.,0,0,1,0,0,0,0,1
A Napoli non ci si può aspettare un caffè dalla macchinetta E senza nemmeno una sfogliatella o un bel Buffet con dolci tipici,0,0,1,0,0,0,0,0
situato vicinissimo alla stazione centrale ma quella è una zona pericolosissima.,0,0,0,0,0,0,1,0
tutt o pulito ed ordinato.,1,0,0,0,0,0,0,0
La pulizia della camera ineccepibile.,1,0,0,0,0,0,0,0
"Il ragazzo che ci ha accolto non è stato esaustivo, in bagno i prodotti x l'igiene erano solo x un ospite e eravamo in due .",0,0,1,1,0,0,0,0
Personale molto cordiale e professionale,0,0,0,1,0,0,0,0
Ristorante e sala colazioni freddina.,0,1,0,0,0,0,0,0
La posizione è eccezionale.,0,0,0,0,0,0,1,0
molto bella la sala per la colazione.,0,1,0,0,0,0,0,0
"Camera molto confortevole e pulita, luminosa con un'ampia finestra  il bagno, anch'esso pulito e con una doccia molto grande.",1,1,0,0,0,0,0,0
Qui al contrario sempre disponibile e sorridente.,0,0,0,1,0,0,0,0
da rimodernare è molto datato e poco curato,0,0,0,0,0,0,0,1
Cordialità e gentilezza del personale e camere curate,0,1,0,1,0,0,0,0
Coperte sporche con odore di stantio.,1,0,0,0,0,0,0,0
"La posizione è straordinaria, è possibile visitare moltissimi luoghi andando a piedi e si è  immersi  in una Napoli attuale ma in cui si sente il  respiro  di Di Giacomo, Viviani, e De Filippo",0,0,0,0,0,0,1,0
"Colazione buona e varietà di scelta, terrazza panoramica piano da cui si può ammirare Bologna, zona tranquilla.",0,0,1,0,0,0,1,0
preaddebito su carta di credito non ancora rimborsato dopo 10 giorni.,0,0,1,0,0,0,0,0
"Frigo bar vuoto Acqua minerale di cortesia, una solo bottiglia per due notti.",0,0,1,0,0,0,0,0
Temperatura della stanza leggermente troppo alta per la stagione.,0,1,0,0,0,0,0,0
"Tutto , in particolare la posizione e il panorama   camera superior vista mare",0,0,0,0,0,0,1,0
Materasso scomodo e colazione non buona.,0,1,1,0,0,0,0,0
La nostra stanza era molto bella ma il bagno o la ventola mandano odore un po' sgradevole.,0,1,0,0,0,0,0,0
"Si dichiarano  pet friendly  ed in effetti hanno accolto il nostro cane anche senza richiedere alcun supplemento  tuttavia esigono di non lasciare mai solo l animale in camera nemmeno X il breve tempo della colazione, obbligando gli ospiti a fare colazione singolarmente.",0,0,1,0,0,0,0,0
"Ottima posizione, staff gentile, buona colazione",0,0,1,1,0,0,1,0
"Pulizia della camera che lascia a desiderare, doccia piccola e scomoda.",1,1,0,0,0,0,0,0
Lo staff è stato gentile e disponibile.,0,0,0,1,0,0,0,0
Nelle immediate vicinanza tanti bar e anche trattorie dove gustare piatti tipici.,0,0,0,0,0,0,1,0
"La posizione, davvero invidiabile",0,0,0,0,0,0,1,0
Giusto la posizione e il receptionist disponibile,0,0,0,1,0,0,1,0
"Vicino alla stazione, silenzioso",0,1,0,0,0,0,1,0
"letto cuscini e copriletto buoni , senza il dannato piumone che c'è altrove.",0,1,0,0,0,0,0,0
"l'hotel è bello, ben tenuto  il parcheggio a circa 350 metri è abbastanza comodo...",0,0,1,0,0,0,0,1
"La camera perfetta come sempre, e staff molto gentile.",0,1,0,1,0,0,0,0
Stanza piccola ma pulita.,1,1,0,0,0,0,0,0
"Il bagno, la pulizia e la gentilezza e disponibilità del personale.",1,0,0,1,0,0,0,0
"Lo staff è stato disponibile e solare, la struttura è ideata per garantire l'indispensabile per chi viaggia.",0,0,0,1,0,0,0,1
Posizione molto comoda e facilmente raggiungibile a piedi dalla stazione centrale.,0,0,0,0,0,0,1,0
"Colazione buona, il distribuitore di caffè a disposizone dei clienti H24 è un plus che non mi era mai capitato",0,0,1,0,0,0,0,0
Camera mini,0,1,0,0,0,0,0,0
"La posizione della struttura è un po' fuori dal centro, ma in compenso è vicina al capolinea degli autobus",0,0,0,0,0,0,1,0
"Camere non insonorizzate, si sente continuamente rumore dalla strada",0,1,0,0,0,0,0,0
Comodità della stanza e posizione ottimale,0,1,0,0,0,0,1,0
"la posizione è centrale, nel vero centro storico.",0,0,0,0,0,0,1,0
Rapporto qualità prezzo veramente ottimo.,0,0,0,0,1,0,0,0
"Camera comoda, silenziosa e pulita.",1,1,0,0,0,0,0,0
Toglierei la moquette dal pavimento .,0,0,0,0,0,0,0,1
"Staff molto educato e gentile, la camera corrispondeva alla descrizione",0,0,0,1,0,0,0,1
Bella la stanza e anche il bagno,0,1,0,0,0,0,0,0
doccia davvero bella e comoda.,0,1,0,0,0,0,0,0
"ottima la colazione, molto belli gli arredi.",0,1,1,0,0,0,0,0
"buona la colazione e la posizone, carina la camera.",0,0,1,0,0,0,1,0
La pulizia delle camere è assolutamente da migliorare... anche le camere da rifare...odore di muffa e rubinetto del bagno arrugginito.,1,1,0,0,0,0,0,0
Durante la colazione parte del cibo era avariata  può capitare  e lo staff non ha fatto nulla né per scusarsi dell'inconveniente né  soprattutto per controllare ritirare il resto del vassoio fruibile per gli altri ospiti,0,0,1,0,0,0,0,0
Ampia la camera con la presenza di tutti i servizi,0,1,1,0,0,0,0,0
Forse si potrebbe rivedere l'isolamento acustico delle stanze.,0,1,0,0,0,0,0,0
ottimo rapporto qualità prezzo,0,0,0,0,1,0,0,0
TROPPO CARO IL SERVIZIO IN CAMERA PER UN PIETANZA,0,0,0,0,1,0,0,0
a due passi dalla stazione centrale.,0,0,0,0,0,0,1,0
"L'addetto alla reception è scappato in cerca di aiuto e ha lasciato me a fare da traduttrice con inglesi e francesi spaesati come me.  Dopo 25 30 minuti ho potuto, insistendo, avere accesso alla mia stanza.",0,1,0,1,0,0,0,0
Cambierei i cuscini del letto.,0,1,0,0,0,0,0,0
"Clienti e titolare hanno fatto baccano sino a tardi, non limitando il tono della voce  porte di cartapesta .",0,1,0,0,0,0,0,0
"Locazione appartamento fantastica, stanze grandi e soleggiate.",0,1,0,0,0,0,1,0
Ci siamo trovati bene.,0,0,0,0,0,0,0,1
Buona la colazione ma migliorabile offrendo più scelta sul salato.,0,0,1,0,0,0,0,0
Orario colazione troppo tardi,0,0,1,0,0,0,0,0
Staff cortese e collaborativo.,0,0,0,1,0,0,0,0
La Hall e la zona colazioni risultano essere alquanto piccole.,0,1,0,0,0,0,0,0
L'hotel avrebbe bisogno di una ristrutturazione  non è il linea con il prezzo richiesto,0,0,0,0,1,0,0,1
Non ho mai successo che pacchegiatto nel paccheggio di hotel ti rubano,0,0,1,0,0,0,0,0
nella stanza  per quanto grande  mancava un comodino e in un hotel dovrebbe essere fondamentale per rendere la stanza completa,0,1,0,0,0,0,0,0
"L'accoglienza al ricevimento, frettoloso e con poche informazioni.",0,0,0,1,0,0,0,0
"La stanza ed il bagno molto puliti, lo staff simpatico e gentilissimo, i cornetti al pistacchio ottimi, la posizione è comodissima e il canale sul retro dell'hotel ha un certo fascino.",1,1,0,1,0,0,1,1
"camere da sistemare   strutturalmente , materassi con le molle che escono, riscaldamento  assente prima delle 20.00 e fuori c'erano 6 gradi.",0,1,0,0,0,0,0,0
"Per me da sola è andata bene, ma in due avremmo dormito veramente male... oppure mi hanno dato una singola senza avvertirmi.",0,1,0,0,0,0,0,0
La camera era datata e usurata .,0,1,0,0,0,0,0,0
L'isolamento acustico delle finestre mi è parso non completo,0,1,0,0,0,0,0,0
Stanza molto pulita e letto comodo,1,1,0,0,0,0,0,0
Servizio wi fi perchè ogni giorno richiede di ricollegarsi,0,0,0,0,0,1,0,0
"La struttura attualmente sarebbe adeguata per i servizi offerti da un Hotel a tre stelle, pertanto risulta essere eccessivo il rapporto costo per notte.",0,0,0,0,1,0,0,0
Arredamento un po' datato.,0,0,0,0,0,0,0,1
Egregia gestione dei titolari.,0,0,0,1,0,0,0,0
"Anzi, siamo stati posizionati davanti alla porta di uscita verso il terrazzo, dove stazionava il personale di servizio addetto alla sala e con un grosso via vai di persone che uscivano ed entravano.",0,1,0,0,0,0,0,0
"La colazione è scarna, un croissant freddo e un cappuccino.",0,0,1,0,0,0,0,0
"Camera con letti obsoleti e rumorosi puzza negli scarichi del lavandino doccia,decisamente una camera non all'altezza della struttura e delle sue 4 stelle,una colazione comunque veramente ottima e un personale qualificato ,professionale e gentile,peccato solo per le condizioni fatiscenti del primo piano e della Camera in questione la 111 che sembra ricavata da un ex deposito in fretta e furia,la reception si è scusata alla nostra partenza e questo forse ci farà ritornare,una struttura di altri tempi e fasti che adesso sembra e ribadisco sembra decadente,spero che migliorino,un peccato non farlo....",0,1,0,1,0,0,0,0
Hall praticamente inesistente,0,0,0,0,0,0,0,1
"Per prendere l'ascensore occorrono 10 cent nei giorni feriali e, se qualcuno  come capita spesso  dimentica le porte aperte l'ascensore non funziona  siamo nel 2016",0,0,1,0,0,0,0,0
"Ottimo rapporto qualità prezzo, la colazione era ottima, con grande varietà di scelta e abbondante.",0,0,1,0,1,0,0,0
Anche la vicinanza con dei buoni ristoranti nel Borgo Marinari di Castel dell'Ovo gioca molto a favore.,0,0,0,0,0,0,1,0
Camera standard con letto alla francese di dimensioni minuscole.,0,1,0,0,0,0,0,0
"Manca un vero armadio, che per soggiorni più lunghi potrebbe fare comodo.",0,1,0,0,0,0,0,0
A due passi dalla Metro,0,0,0,0,0,0,1,0
L'arredo dell'hotel è sfizioso e curato.,0,0,0,0,0,0,0,1
"Piccoli comodo accorgimenti, come la cabina armadio separata con un ampio specchio, le pantofole, doppi cuscini e il bollitore elettrico.",0,1,0,0,0,0,0,0
Bidet con troppo poco spazio per persone con altezza sopra la media,0,1,0,0,0,0,0,0
"Personale disponibile, cortese e preparato.",0,0,0,1,0,0,0,0
Un plauso anche al servizio in camera  i pasti vengono consegnati caldi e presentati bene  a differenza di altre strutture .,0,0,1,0,0,0,0,0
Il free upgrade alla Junior Suite è stato molto apprezzato.,0,0,1,0,0,0,0,0
"Pulizia, e poco sorriso da parte dello staff",0,0,0,1,0,0,0,0
Letto grande e comodo,0,1,0,0,0,0,0,0
Gestori dell'hotel gentilissimi e personale molto disponibile e cordiale.,0,0,0,1,0,0,0,0
Il check out posticipato di appena un'ora al costo di un'intera notte supplementare.,0,0,0,0,1,0,0,0
Frigobar in camera dotato di ogni tipo di bevanda e snack.,0,0,1,0,0,0,0,0
per quanto mi riguarda ottima posizione per lo stadio san paolo staff disponibile e professionale.,0,0,0,0,0,0,1,0
Pioveva .... e ci siamo lavati X arrivare al parcheggio,0,1,0,0,0,0,0,0
La camera arredata con gusto come del resto tutto l'hotel.,0,0,0,0,0,0,0,1
Posizione centrale da cui si può raggiungere tutta Napoli a piedi.,0,0,0,0,0,0,1,0
Ottimo albergo per vacanza e visita della città.,0,1,0,0,0,0,0,0
Palazzo un po datato.,0,0,0,0,0,0,0,1
Pulizia e comfort delle stanze in un ambiente minimalista ma di ottima accoglienza.,1,1,0,0,0,0,0,1
Mi è piaciuto che venisse preparata la camera con candela della buona notte e musica di sottofondo,0,0,1,0,0,0,0,0
"Personale molto cortese e attento, posizione eccellente, ambiente elegante",0,1,0,1,0,0,1,0
"La nostra camera, probabilmente per il tipo di disposizione se rimaneva chiusa risentiva un po dell'umidità, ma con un po di aria dalla finestra tornava tutto ok.",1,0,0,0,0,0,0,0
La camera era spaziosa ed il personale professionale,0,1,0,1,0,0,0,0
La pomposita' del nome non corrisponde alla realtà.,0,0,0,0,0,0,0,1
"Copriletti e coperte non davano l'impressione di essere molto puliti, water con residui di sporco nel fondo.",1,0,0,0,0,0,0,0
Nel bagno c'era un segno di una perdita.,0,1,0,0,0,0,0,0
Posizione buona a pochi metri dalla stazione ma vicina per raggiungere il centro storico a piedi.,0,0,0,0,0,0,1,0
"Camera molto ampia, ambiente luminoso, caldo e funzionale.",0,1,0,0,0,0,0,0
"Non ci è piaciuta la camera,il bagno assolutamente il contrario di quanto si aspetti da un normale bagno con quella che doveva essere una doccia con muffa,la tv che non prendeva nessun canale,la vista  da paura  tanto che abbiam deciso di lasciare la persiana chiusa.",1,1,1,0,0,0,1,0
Ottima la colazione con vista mare data la posizione al settimo piano,0,0,1,0,0,0,1,0
La gentilezza del personale,0,0,0,1,0,0,0,0
Vicinanza con stazione e metro,0,0,0,0,0,0,1,0
Pulizia con ampi margini di miglioramento.,1,0,0,0,0,0,0,0
Mancanza di un adeguato parcheggio interno per il carico e scarico.,0,0,1,0,0,0,0,0
La scelta della colazione era scarsa.,0,0,1,0,0,0,0,0
"la posizione, vicinissimo al centro storico",0,0,0,0,0,0,1,0
La temperatura troppo elevata e senza la possibilita' di sistemarla,0,1,0,0,0,0,0,0
Era una cosa da chiamare Ufficio Igiene subito.,1,0,0,0,0,0,0,0
Posizione decentrata ma tranquilla.,0,0,0,0,0,0,1,0
La vicinanza al centro,0,0,0,0,0,0,1,0
"Solo quando al desk è arrivata una senior, finalmente la  reception  diventa tale  altrimenti sembra che ti facciano un favore .",0,0,0,1,0,0,0,0
Le camere pulite e spaziose.,1,1,0,0,0,0,0,0
Staff cordiale e disponibile,0,0,0,1,0,0,0,0
"I croissant erano buoni e freschi, personale disponibile e gentile",0,0,1,1,0,0,0,0
Stanz inadeguata e non arredata a sufficienza.,0,1,0,0,0,0,0,0
"Staff cordiale e disponibile, siamo arrivati in anticipo e ci hanno consentito di lasciare i bagagli in hotel prima dell'orario di check in ed anche dopo il check out.",0,0,0,1,0,0,0,0
La colazione era ricca.,0,0,1,0,0,0,0,0
"Ottima posizione, hotel in rifacimento per cui c'è una cura verso l'ammodernamento, ottima colazione, favoloso wifi internet  ho fatto una video call senza problemi ed ero in camera , camera e bagno molto ampi, personale gentile",0,1,1,1,0,1,1,0
Problemi con l'acqua calda.,0,1,0,0,0,0,0,0
"Ambiente di classe inserito in contesto tranquillo, parco molto curato, personale cordiale e discreto",0,1,0,1,0,0,0,0
"Purtroppo, dopo una lunga attesa, ci è capitato un taxi abusivo che ci ha rubato 110 euro per arrivare alla  stazione di Napoli Afragola.",0,0,0,0,0,0,0,0
"Letti scomodi, armadio rotto e phon poco potente.",0,1,0,0,0,0,0,0
Il bagno non è in camera e questo dovrebbe fare abbassare un po' il prezzo.,0,1,0,0,1,0,0,0
"Struttura pulita, camere confortevoli",1,1,0,0,0,0,0,0
"Nella stanza puzzava di fumo e di cose sporche, non era un buon odore.",1,0,0,0,0,0,0,0
La chiave a tessera non funzionava,0,0,0,0,0,0,0,1
"esterno, sala per la colazione piccolissima.",0,1,0,0,0,0,0,0
"Ambiente tetro e squallido, con tanto di umidità che ha reso le basi delle porte completamente sfaldate e muri che si sgretolavano.",1,1,0,0,0,0,1,0
"Posizione eccezionale per servizi,centro e porto.",0,0,0,0,0,0,1,0
La disponibilità del personale,0,0,0,1,0,0,0,0
"Formiche sul pavimento, senza ascensore, personale scorbutico, colazione in una saletta misera con cornetti confezionati.",1,0,1,1,0,0,0,0
La camera non era molto insonorizzata,0,1,0,0,0,0,0,0
Peli pubici sul letto e asciugamani sporchi di presunta cacca.,1,0,0,0,0,0,0,0
bella struttura interna buona la pulizia belle camere personale gentile,1,0,0,1,0,0,0,1
"Camera troppo calda, asfissiante.",0,1,0,0,0,0,0,0
"Colazione scarsa, anche se le cose basilari erano disponibili.",0,0,1,0,0,0,0,0
Mi è piaciuto tutto,1,1,1,1,1,1,1,1
Non c'è il servizio colazione.,0,0,1,0,0,0,0,0
Presenza di un'inutile cucina e bagno microscopico,0,1,0,0,0,0,0,0
"Questa grave carenza non può essere certo giustificata dagli ospiti numerosi, visto che l'hotel è accanto alla fiera.",0,0,1,0,0,0,1,0
La cordialità del proprietario e del resto dello staff.,0,0,0,1,0,0,0,0
Posizione nel centro storico,0,0,0,0,0,0,1,0
"La doccia spaziosa, bagno pulitissimo e letto comodo.",1,1,0,0,0,0,0,0
"Odore di fogna in camere ,Aria incondizionata con caldo in camera , doccia piena di.",1,0,0,0,0,0,0,0
"lontano da mezzi pubblici per raggiungere il centro di Napoli , gentile lo staff , buona la colazione ma carente nella organizzazione",0,0,1,1,0,0,1,0
"Hotel molto confortevole, il materasso comodissimo e il personale gentile e disponibile.",0,1,0,1,0,0,0,0
"La posizione strategica  a ridosso della tangenziale,la  camera spaziosa e silenziosa.",0,1,0,0,0,0,1,0
I cuscini scomodi e magari x il tipo d albergo metterei qualche prodotto in più in bagno o comunque almeno uno per ospite.,0,1,1,0,0,0,0,0
"Colazione buona, ma soprattutto una colazione di forte influenza napoletana.",0,0,1,0,0,0,0,0
"La struttura è buona, camere pulite e sufficientemente spaziose.",1,1,0,0,0,0,0,0
L'aria condizionata centralizzata e per regolarla devi chiamare la reception,0,0,1,0,0,0,0,0
Da migliorare la colazione non c e Molta scelta.,0,0,1,0,0,0,0,0
Posizione   comodo da raggiungere   Staff gentilissmo e sollecito,0,0,0,1,0,0,1,0
"la colazione non e' da hotel 4 stelle, ho avuto esperienze lavorative nella ristorazione, so riconoscere la qualita' dei cibi,i salumi sono di pessima qualita'  Saro' piu' specifico il prosciutto cotto era una pessima spalla di 2  categoria ,il salame aveva il grasso rancido,la mortadella....... pensare che ero a Bologna  Potrei continuare ancora,ma mi fermo qui,sperando che il Direttore ,  che gia' ha risposto a commenti simili ,dicendo che in albergo utlilizzano materia prima di qualita',la qualita' la porti davvero.",0,0,1,0,0,0,0,0
"Accoglienza, disponibilità e la posizione.",0,0,0,1,0,0,1,0
La camera 310 piccola e non servita da ascensore.,0,1,1,0,0,0,0,0
L'edificio all'esterno si presenta in condizioni molto degradate.,0,1,0,0,0,0,0,0
"La magnifica vista, la gentilezza dello staff  in particolare nella sala colazione   e la qualità dei prodotti della colazione",0,1,1,1,0,0,0,0
Lo staff alla reception non molto affabile.,0,0,0,1,0,0,0,0
"La struttura di ricevimento top, il fascino della camera con il soffitto affrescato.",0,0,0,0,0,0,0,1
Praticamente durante la nostra scelta i camerieri toglievano i vassoi da sotto e in un hotel come questo non è accettabile.,0,0,1,1,1,0,0,0
Camera standard economica ma troppo piccola.,0,1,0,0,1,0,0,0
La struttura è un po' vecchiotta ma nel complesso la qualità prezzo è buona.,0,0,0,0,1,0,0,0
Personale molto gentilissimo e molto disponibile.,0,0,0,1,0,0,0,0
"posizione fantastica, che giustifica a priori la scelta  tra stazione centrale e centro città",0,0,0,0,0,0,1,0
pessimo rapporto qualità prezzo,0,0,0,0,1,0,0,0
"Wow  Pane da tostare veramente gustoso, con le marmellate molto saporite, torte eccezionali e buon caffè americano.",0,0,1,0,0,0,0,0
La cena è stata di buona qualità a buffet e il servizio ottimo.,0,0,1,1,0,0,0,0
"Il bagno non molto agevole, la doccetta sarebbe migliore non fissa, la presa del letto da cambiare poichè era completamente fusa e potrebbe essere pericolosa.",0,1,0,0,0,0,0,0
Letto king size comodissimo e vuol dire tanto,0,1,0,0,0,0,0,0
"La struttura interna è molto molto suggestiva e accogliente,camere favolose",0,1,0,0,0,0,0,0
Non ho trovato scritto che ci fosse da pagare la tassa di soggiorno 2 EUR al giorno a persona  Inoltre la domenica la sala colazione era al completo e forse mancava almeno un'altra persona al personale per pulire i tavoli e rimettere il cibo esaurito.,0,0,1,1,0,0,0,0
per la cifra pagata la colazione deve essere inclusa,0,0,1,0,0,0,0,0
Stanza un po'  angusta.,0,1,0,0,0,0,0,0
Camera di Giò Ponti ampia e stupenda.,0,1,0,0,0,0,0,0
Camere non proprio bellissime alcune datate,0,0,0,0,0,0,0,1
"Posizione centralissima, arredamento stupendo, pulizia ottima e personale molto gentile.",1,0,0,1,0,0,1,1
"Colazione abbondante, ottima posizione rispetto al centro, parcheggio un po' caro ma indispensabile",0,0,1,0,1,0,1,0
Il riscaldamento che stacca a intervalli,0,1,0,0,0,0,0,0
Pastiera e frutta buonissima,0,0,1,0,0,0,0,0
LA COLAZIONE SCARSA E NON DI BUONA QUALITA',0,0,1,0,0,0,0,0
avevo un letto matrimoniale tutto per me.posizione comodissima davanti alla stazione,0,1,0,0,0,0,1,0
La disponibilità della reception a stampare i voucher,0,0,0,1,0,0,0,0
Bagno malandato e senza doccia,0,1,0,0,0,0,0,0
"facile da trovare e molto sicuro  una chiave per il portone, poi si sale un piano e una chiave per l'appartamento, una chiave per la stanza e anche quella per il proprio armadietto .",0,1,0,0,0,0,1,0
"Comodi, ma non tanto belli",0,1,0,0,0,0,0,1
Per chi dorme nel dormitorio non sono previsti asciugamani.,0,0,1,0,0,0,0,0
Mai più nemmeno per una notte,0,0,0,0,0,0,0,1
Bagni sporchissimi e coperte macchiate .,1,0,0,0,0,0,0,0
"ottima posizione , buon rapporto qualità prezzo",0,0,0,0,1,0,1,0
Da fuori non ti aspetti che dentro è carino,0,0,0,0,0,0,0,1
Colazione buona sia per quantità che per qualità.,0,0,1,0,0,0,0,0
"IL balcone delle camera e le tende, e' un problema aprirle e chiuderle rif.",0,1,0,0,0,0,0,0
"Confortevole, ma quattro stelle per questa struttura mi sembrano eccessive.",0,1,0,0,0,0,0,1
"La cordialità del personale, l'ambiente pulito, il letto confortevole e la buona prima colazione.",1,1,1,1,0,0,0,0
Mancava il mini frigo in camera.,0,0,1,0,0,0,0,0
"La colazione favolosa, ampia scelta, le camere confortevoli e lo staff disponibile",0,1,1,1,0,0,0,0
"20 min di attesa, dopo il check, nel corridoio per lasciare ancora il tempo di sistemare  approssimativamente  la camera.",0,0,1,0,0,0,0,0
"Ottima struttura, personale cordiale comodo ai mezzi pubblici",0,1,0,1,0,0,1,0
"Vicino al centro  poco più di un km , ben servito da mezzi di trasporto ed in zona ricca di ristoranti e luoghi dove mangiare",0,0,0,0,0,0,1,0
Salta subito all'occhio che pecca di manutenzione.,0,0,1,0,0,0,0,0
Il ragazzo alla reception era molto educato ed è stato carino.,0,0,0,1,0,0,0,0
Personale molto preparato e cordiale.,0,0,0,1,0,0,0,0
Personale competente e cordiale posizione ottima camere accoglienti,0,1,0,1,0,0,1,0
"E' un grande albergo e, per questo, manca un pochino di  personalità .",0,0,0,0,0,0,0,1
Frutta a colazione ottima....il resto...lasciamo perdere...non ci tornerei assolutamente.,0,0,1,0,0,0,0,1
